category_code,category_label,parent_code,text
1A8,Wind Tunnel Testing /Technology,1A0,"Wind Tunnel Testing /Technology - Wind tunnels are essentially used in R&D to study flow phenomena and to simulate on scaled models the aerodynamics of any aircraft or other aerodynamically relevant object. Geometry, Mach number and Reynolds number are, in that order the main similarity conditions for a precise (nearly exact) simulation. Other conditions may apply (e.g. inertia, real gas...). Depending on what needs to be simulated, numerous (100) techniques have been developed, some common to most tunnels, some more specific to a certain class of facilities. - 1. Model design/manufacturing: concurrent engineering, from CFD to CAD/CAM, quick prototyping systems._x000D_
_x000D_
2. On-line data acquisition/reduction systems: high sampling rates for unsteady flows, handling of large data bases, standardised data presentation._x000D_
_x000D_
3. Wind tunnel flow conditioning: flow quality survey/improvement (angularity, turbulence, noise), high Reynolds number simulation (pressure, cryogenics), high enthalpy tunnels._x000D_
_x000D_
4. Full or semi-span model common techniques: global & local loads, pressures, boundary layer transition checking, aerodynamic coefficients, buffeting boundaries, visualisations, model support and wall interference correction/reduction._x000D_
_x000D_
5. Airframe/propulsion integration: air intakes, nozzles/afterbodies, motorised nacelles, propellers, helicopter rotors, stealth._x000D_
_x000D_
6. Flow/surface flow survey: by intrusive and/or non intrusive means._x000D_
_x000D_
7. Specific techniques such as : Aeroacoustics, Aeroelasticity/flutter, Jettison (free drop & captive trajectory),_x000D_
_x000D_
Ground effect, Dynamic derivatives, Heat transfer (hypersonic)."
1A0,Flight Physics,,Flight Physics -  -
1B0,Aerostructures,,Aerostructures -  -
1B8,Smart Materials and Structures,1B0,"Smart Materials and Structures - This domain consists in to equip structures with sensors, actuators and intelligence in order to give them some autonomy, adaptation capabilities or reduce the operational costs or nuisances (noise ...). The sensors provide the knowledge of the internal state and of the external environment. The actuators give the ability to adapt to internal and external changes. The intelligence permits the autonomous capacity to decide the optimal way of adaptation. - 1. Miniaturisation of sensors (piezoelectric devices, optical fibers,..)

2. Integration of sensors

3. Active Piezoelectric materials

4. Electrostrictive materials

5. Single crystals

6. Magnetostrictive materials

7. Electrorheological

8. Shape memory alloys

9. Actuators

10. Micro-motors

11. Control strategies

12. Multi-functional materials

13. Health Monitoring System

14. Control of vibration

15. Shape Control

16. Active flow Control

17. UAV, mini UAV"
1B12,Noise Reduction,1B0,"Noise Reduction - 1. Internal noise reduction. Active Control. The aim is to decrease the level of noise due to the vibrations of structures with the use of active control algorithms able to take into account different noise sources, i.e. wide band excitations._x000D_
_x000D_
2. External noise reduction. Reduction at the source; acoustic absorbing materials (passive and adaptive)._x000D_
_x000D_
Link with ATM and Human Factors (noise perception). - 1. Active Control algorithms_x000D_
_x000D_
2. Techniques in relation with actuators and sensors such as piezoelectric or piezoceramic materials,_x000D_
_x000D_
electrostrictive ceramics… and their mechanical modellisation._x000D_
_x000D_
3. Automatics and real time systems for the study and for the realisation of controllers_x000D_
_x000D_
4. Optimisation of the location of patches on the structures_x000D_
_x000D_
5. Modal identification of structures_x000D_
_x000D_
6. Knowledge of noise sources and identification of acoustic leaks_x000D_
_x000D_
7. Acoustic measurements for the validation of Active Control_x000D_
_x000D_
8. Sources:_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
8.1. Optimisation of aerodynamic and acoustic performance through new design of fan blade and vanes,_x000D_
_x000D_
advanced propellers (possibly uneven spaced), and helicopter rotors._x000D_
_x000D_
8.2. Novel aircraft designs to mask some sources, or to alleviate installation effects (interactions) on noise_x000D_
_x000D_
generation._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
9. Acoustic linings:_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
9.1. New concepts of passive or adaptive materials_x000D_
_x000D_
9.2. Extensions to high temperatures on the exhaust duct_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
10. Noise abatement procedures"
1B1,Metalic Materials & basic processes,1B0,"Metalic Materials & basic processes - High temperature materials for engines and light alloys for airframe. Improvement of the properties of already in use materials, improvement of materials in the process of being introduced, prospection and development of new materials. Development of new assembling technologies and the corresponding modelling (link with 204 and 205). Development of specific tools for materials processing (alloy making furnaces, powder metallurgy, deposition techniques, oxidation and corrosion furnaces, heat treatments furnaces, machining facilities). Techniques of physico-chemical and microstuctural investigations (Xray analysis, scanning electron microscopy and microanalyses). Mechanical characterisation. - 1. Superalloys_x000D_
_x000D_
2. Aluminium alloys_x000D_
_x000D_
3. Titanium aluminides_x000D_
_x000D_
4. New weldable alloys_x000D_
_x000D_
5. Coatings_x000D_
_x000D_
6. Oxidation, corrosion_x000D_
_x000D_
7. Assembling processes_x000D_
_x000D_
8. Repairing processes_x000D_
_x000D_
9. Microscopical analyses_x000D_
_x000D_
10. Chemical analyses_x000D_
_x000D_
11. Mechanical testing"
1B2,Non-Metallic Materials & basic processes,1B0,"Non-Metallic Materials & basic processes - Organic and ceramic materials in different forms (film, monolith, fibre). Surface protection (oxidation, corrosion, thermal barrier), ceramics for structural and electrical engineering (blades and hot parts of engines, electromagnetic windows, ball bearing, electric insulators, fibres and nanotubes), processing routes (PVD, CVD, sintering, reaction-bonding, directional solidification, cold and hot isostatic pressing, melting and spinning, laser ablation and electric discharge). - 1. Carbide and nitride of silicon_x000D_
_x000D_
2. Organometallic precursors of ceramics (alkoxides and organosilicon polymers)_x000D_
_x000D_
3. Organic precursors of carbon (PAN, pitch)_x000D_
_x000D_
4. Glass and glass-ceramics_x000D_
_x000D_
5. silica_x000D_
_x000D_
6. cordierite_x000D_
_x000D_
7. metallic sulphides and fluorides_x000D_
_x000D_
8. Polyethylene_x000D_
_x000D_
9. aramid, glass_x000D_
_x000D_
10. carbon and boron nitride nanotubes_x000D_
_x000D_
11. thermal barrier coatings_x000D_
_x000D_
12. Piezoelectric"
1B7,"Buckling, Vibrations and Accoustics",1B0,"Buckling, Vibrations and Accoustics - Activity on buckling consists of the development, improvement and validation of experimental and numerical methods for the prediction of buckling phenomenon and optimisation of structural components (metallic and composite materials) in aerospace domain. Vibrations and Vibro-Acoustics: Objectives of the structural dynamic are to determine the dynamic behaviour of structural systems excited by external or internal forces (mechanical, aerodynamics or acoustic) in order to guarantee the integrity of the structure in the environment and the comfort of the users. The objectives of the vibro-acoustics are the same for a structure coupled with a fluid. Two types of problems can be consider. The first type concerns the internal noise generated by vibrating structures. The second type concerns the acoustic discretion where the external noise is generated by vibrating structure. The studies concern the physical understanding of the mechanic and acoustic phenomena?s, their description, their quantification with theoretical, numerical and experimental means. - 1 - Structural dynamics:_x000D_
_x000D_
1.1. Structural dynamic modelling: Material modelling (viscoelastic media, composites, multilayer structure);_x000D_
_x000D_
Numerical method( (Analytical, Finite Element analysis), Statistic Energy Analysis); Linear and non linear analysis; Damping modelling; Structure internal fluid interaction (sloshing)._x000D_
_x000D_
1.2. Multibody dynamics modelling: Kinematics and dynamics of rigid and flexible components_x000D_
_x000D_
1.3. Stress Waves in Solids: Waves propagation_x000D_
_x000D_
1.4. Structural Model updating_x000D_
_x000D_
1.5. Dynamic Structural optimisation_x000D_
_x000D_
1.6. Shocks and vibrations: Transient response, Low frequency range, Medium and high frequency ranges_x000D_
_x000D_
1.7. Random Vibrations in Structural Mechanics: Linear and non-linear systems, Random excitation (turbulence, noise, acoustic)_x000D_
_x000D_
1.8. Experimental Methods in Vibrations: Vibration properties of materials, Vibration technique in nondestructive testing, Systems excitations, transducers, Data acquisition, Signal processing and analysis, _x000D_
_x000D_
1.9- Experimental Modal Analysis, FRF measurements_x000D_
_x000D_
2 - Elasto-acoustic:_x000D_
_x000D_
2.1. Material properties: Homogeneous material, composites, viscoelastic media, multilayer, etc.; Acoustic material_x000D_
_x000D_
2.2. Modelling: Analytical approaches, Finite element analysis, Boundary Element analysis, Statistic Energy Analysis_x000D_
_x000D_
2.3. Sound Structure Interaction: Acoustic propagation, Acoustic radiation, Acoustic transmission through structures, Acoustic reflection from elastics structures, Acoustic excitation, Acoustic fatigue, Structure and fluid damping_x000D_
_x000D_
2.4. Experimental Identification"
1B9,Structures behaviour and Material Testing,1B0,"Structures behaviour and Material Testing - Development and use of test facilities in order to get inputs for prediction tools (material properties characterisation of metallic and composite materials), validate prediction tools (determination of local or/global information such as strain, stress, plasticity, cracks, delamination phenomenon, . .) and to verify the behaviour of sub-components or real structure (limit strength, fatigue behaviour, . ..) - 1. Constitutive laws (metallic and composite materials)_x000D_
_x000D_
2. Experimental static component behaviour_x000D_
_x000D_
3. Non-linear characterisation with and without temperature environment_x000D_
_x000D_
4. Buckling testing_x000D_
_x000D_
5. Diffusitivity measurements (thermal properties. NDT)_x000D_
_x000D_
6. Electrical and electromagnetic properties measurements (NDT)_x000D_
_x000D_
7. Optical properties (NDT)_x000D_
_x000D_
8. X Ray radiography (NDI)_x000D_
_x000D_
9. Ultrasounds with and without contact (Air coupled or laser)_x000D_
_x000D_
10. Eddy Current (NDI)_x000D_
_x000D_
11. Thermography method (NDI)_x000D_
_x000D_
12. Optical techniques (holography, shearography, Moire)"
1B10,Internal Noise prediction,1B0,"Internal Noise prediction - Activity on internal noise prediction consists of the development, improvement and validation of experimental and numerical methods for the prediction and the reduction of internal noise (aeroplane, helicopter, launcher). This activity is a part of the Vibration and Vibroacoustic domain. To solve an Internal Noise_x000D_
_x000D_
Problem, we need the knowledge of the excitation sources, the dynamic behaviour of the structure, the propagation way of the vibration in the structure and in the internal fluid. - 1. Material properties: Homogeneous material, heterogeneous structure, Composite material, viscoelastic media, multilayer, etc., Acoustic material, porous material, Material optimisation._x000D_
_x000D_
2. Modelling: Analytical approaches, Finite element analysis, Boundary Element Analysis, Statistic Energy Analysis, Energy diffusion;_x000D_
_x000D_
3. Excitation sources: mechanic, aerodynamic, acoustic; Acoustic propagation, Acoustic radiation, Acoustic transmission through structures, Acoustic reflection from elastics structures._x000D_
_x000D_
4. Experimental Identification."
1B5,Structural Analysis and Design,1B0,"Structural Analysis and Design -  Structural analysis and design consist in all the steps necessary to guarantee that any structural part will be able to fulfil its requirements. It encompasses the conception and design (with links with CAD) and the prediction/verification of strength to static loads (stress analysis) and low amplitude cycling loads (fatigue). The effects of the environment (such as ageing, thermal loads, moisture effects, . . .) are included in this domain. - 1. Metallic Material constitutive laws (linear elasticity, plasticity, viscolelasticity)_x000D_
_x000D_
2. Composite laws (linear and non-linear domains)_x000D_
_x000D_
3. Numerical methods (finite element, solving methods)_x000D_
_x000D_
4. Composite and multilayer structure modelling_x000D_
_x000D_
5. Static Stress analysis with damage and failure criteria_x000D_
_x000D_
6. Fatigue behaviour analysis with crack initiation and propagation_x000D_
_x000D_
7. Multi-scale modelling methods for CMC, OMC and MMC materials_x000D_
_x000D_
8. Buckling (linear and non-linear approaches) for metallic components_x000D_
_x000D_
9. Buckling for composite structures with or without stiffener_x000D_
_x000D_
10. Post-buckling (crack initiation and delamination propagation)_x000D_
_x000D_
11. Assembling modelling (rivets, bonding, FSW techniques,..)_x000D_
_x000D_
12. Optimisation methods"
1B3,Composite Materials & basic processes,1B0,"Composite Materials & basic processes - Life prediction (residual stress, damage propagation, oxidation and corrosion) and multi-scale modelling taking into account the fibre/matrix interface. Development of micromechanical characterisation tools (instrumented microindentation at room and high temperature, push-out and push-in). Ceramic Matrix Composites (CMC) : hot parts for turbine engine (nozzle flaps, thrust vectoring nozzles, flame-holder, exhaust cones), rocket propulsion (thrust chambers, exit nozzles and nozzle throats) and thermal protections. Composites reinforced with long fibres or fillers. Processing routes (sintering, hot pressing, reaction bonding, liquid infiltration, chemical vapour infiltration). Organic Matrix Composites (OMC) : main body and wings for both subsonic or hypersonic aeroplanes and helicopters, outer ducts for engines, tanks, structural components for satellites and rockets, thermal protections. Short or long fibre composites, compounds (premix or nanotubes). Processing routes (press moulding, autoclave, RTM, filament winding, tow placement). Metal matrix composites (MMC) : aero-engines hot parts (compressor disks, drive shafts, blades) and structural components (aircraft landing gear, rocket motor casing, missile fins, satellite antennas). Continuous fibre-reinforced and particulate-reinforced composites. Processing routes (liquid infiltration under moderate pressure, fibre coating and HIPing, powder metallurgy). - 1. CMC: matrices (carbide and nitride of silicon, glass-ceramics, carbon) ; fibres (silicon carbide, carbon,oxide) and fillers (silicon carbide)._x000D_
_x000D_
2. OMC: matrices (thermosetting resins, thermoplastic polymers, thermostables and elastomers); reinforcement by fibres (carbon, polyethylene, polyaramide, glass, plant fibres) and by particles (mineral, nanotubes)._x000D_
_x000D_
3. MMC: matrices (conventional titanium alloys, titanium luminides, nickel-based superalloys, aluminium and magnesium alloys); fibres (silicon carbide, alumina, carbon) and particles (carbides)._x000D_
_x000D_
4. Elaboration processes._x000D_
_x000D_
5. Repairing processes"
1B4,Advanced Manufacturing Processes & Technologies,1B0,"Advanced Manufacturing Processes & Technologies - Advanced Manufacturing Engineering processes involve the design, production engineering and transition to factory operation of competitive manufacturing processes, techniques, methods and tools. - 1. Flexible Manufacturing_x000D_
_x000D_
2. Robotics_x000D_
_x000D_
3. composite components_x000D_
_x000D_
4. fibre-metal laminates_x000D_
_x000D_
5. Ribbon Organised Wiring_x000D_
_x000D_
6. High speed machining: metal parts_x000D_
_x000D_
7. Fabrication simulation: all kind of manufacturing processes to reduce start up time_x000D_
_x000D_
8. Welding technologies_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
8.1. Friction stir welding : metal structures_x000D_
_x000D_
8.2. Laser beam welding: metal structures_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
9. Explosive forming_x000D_
_x000D_
10. Advanced castings_x000D_
_x000D_
11. Super plastic forming: metal structures, in particular titanium_x000D_
_x000D_
12. Resin transfer moulding: composite structures_x000D_
_x000D_
13. Tau placement: automated fibre placement, composite structures_x000D_
_x000D_
14. Thermo-plastics: composite structures_x000D_
_x000D_
15. Riveted Joint_x000D_
_x000D_
16. Bonded Joint_x000D_
_x000D_
17. Conformal antennas_x000D_
_x000D_
18. Additive Manufacturing"
1B13,Accoustics Measurements and Test Technology,1B0,"Accoustics Measurements and Test Technology - Acoustic measurements deal with pressure field using microphones and pressure transducers, in association if needed with other probes, as accelerometers or DLV. It constitutes the basis for experimental studies concerning noise pollution, noise reduction, acoustic detection and ranging, and acoustic fatigue. Depending of the application, attention is focused on the radiated far-field (vehicle certification), the near acoustic field (cabin noise, vibro-acoustics), the characterisation of noise sources (physical phenomena responsible for vehicle noise emission such as turbomachinery noise, jet noise, airframe noise, installation effects), the acoustic imaging (detection and ranging). Measurements are made at model scale (anechoic room, wind-tunnels) or at full scale. Acoustic measurements are strongly coupled with signal processing, in particular concerning localisation and active noise control. They are also strongly interested in psychoacoustics and the definition of noise annoyance indicators. - 1. Sensors and transducers: condenser microphone, loudspeakers, acoustic driver, accelerometer, sound intensity probe, smart transducer, pistonphone, DLV_x000D_
_x000D_
2. Units: physical units (Pa, dB), psychoacoustical units (dBA, PNdB, EPNdB, Leq,…)_x000D_
_x000D_
3. Common measurements: calibration, absorption, convection, refraction, reverberation, near-field and farfield, intensimetry_x000D_
_x000D_
4. Machinery and airframe noise measurements: anechoïc room, reverberation chamber, wind tunnel, flight tests, internal and external noise_x000D_
_x000D_
5. Noise source localisation and ranging: microphone array, acoustic mirror_x000D_
_x000D_
6. Acoustic signal recording and processing: narrow band frequency analysis, third octave and octave bands, correlations, random noise, impulsive noise_x000D_
_x000D_
7. Certification procedures_x000D_
_x000D_
8. Acoustic detection_x000D_
_x000D_
9. Active noise control"
1B14,Aircraft Security,1B0,"Aircraft Security - Aircraft security measures are the physical protection measures required in order to protect the aircraft and the passengers and crew when they are on-board. - 1. Flight deck barrier devices (e.g. impenetrable cockpit doors)_x000D_
_x000D_
2. Bomb-proof cargo containers (to contain effects of explosions)_x000D_
_x000D_
Comment: see also Area 'AIRCRAFT AVIONICS SYSTEMS & EQUIPMENT'"
