"project_id","title","description","text","labels","timestamp"
"P00218","Second Generation Unit Load Device to improve the Security and Efficiency of the Aerospace Logistics Industry","The SAFEGUARD project presents a new technology to improve the security and efficiency of air cargo through the research and development of a second generation Unit Load Device (ULD). With 1 million ULDs around the world worth over 900 million Euros, they are a crucial element of the global aviation industry. For example, in 2009, 80 million tonnes of air cargo was carried by the existing ULD fleet. However, 26 million tonnes of this cargo (33%) was transported on passenger aircraft and industry experts agree that air cargo is the weak link in the supply chain. Considering the potential security problems around the global air cargo supply chain, there is an urgent need to review and improve existing technological solutions. Over the last 20 years, incremental improvements have primarily focused on weight reduction, which has resulted in compromised security within the supply chain. The research and development of the SAFEGUARD technology will result in a step change improvement in the security of air cargo supply chain, in addition to large economic savings and logistics improvements for airlines. The proposed technology will overcome the existing security concerns in the supply chain, as well as reducing the ULD weight, minimising supply chain imbalances for ULD availability and the current high maintenance requirements. Following the research program, the new technology will enable our SME consortium partners to jointly commercialise a new product, with forecast revenues of 105 million Euros to 2020 and significant advancements in air cargo supply chain security.","Second Generation Unit Load Device to improve the Security and Efficiency of the Aerospace Logistics Industry. The SAFEGUARD project presents a new technology to improve the security and efficiency of air cargo through the research and development of a second generation Unit Load Device (ULD). With 1 million ULDs around the world worth over 900 million Euros, they are a crucial element of the global aviation industry. For example, in 2009, 80 million tonnes of air cargo was carried by the existing ULD fleet. However, 26 million tonnes of this cargo (33%) was transported on passenger aircraft and industry experts agree that air cargo is the weak link in the supply chain. Considering the potential security problems around the global air cargo supply chain, there is an urgent need to review and improve existing technological solutions. Over the last 20 years, incremental improvements have primarily focused on weight reduction, which has resulted in compromised security within the supply chain. The research and development of the SAFEGUARD technology will result in a step change improvement in the security of air cargo supply chain, in addition to large economic savings and logistics improvements for airlines. The proposed technology will overcome the existing security concerns in the supply chain, as well as reducing the ULD weight, minimising supply chain imbalances for ULD availability and the current high maintenance requirements. Following the research program, the new technology will enable our SME consortium partners to jointly commercialise a new product, with forecast revenues of 105 million Euros to 2020 and significant advancements in air cargo supply chain security.","",""
"P00219","innovative Systems for Personalised Aircraft Cabin Environment","""The focus of this proposal is to improve passengers’ comfort and well-being while fulfilling specific human needs in the treated case """"living environment in an airplane"""". To address the individual passenger and her/his needs this will be done in the frame of an individual and innovative seat environment. Thus passengers’ choice with regard to comfort will be increased directly. Therefore, iSPACE will provide concepts and step-change technologies in order to reach a revolution in personalised passenger climate control. The overall aim of iSPACE is to provide aircraft manufacturers and suppliers with know how and innovations to address the individualisation of the cabin environment. This will ultimately provide a step-change in passenger comfort during flight. Furthermore, validated tools for the simulation of individualised cabin environment will be developed. The scientific and technological objectives of iSPACE are to: Develop concepts for individualisation of passenger cabin environment and prove its general feasibility. Develop and prove emerging step-change technologies for individualisation of passenger cabin environment. Provide simulation tools for individualised cabin environment and give recommendations for existing and future commercial aircraft. iSPACE is in line with former projects funded by the EC which investigated the cabin environment with a philosophy on human centred design. So far most of these projects did investigate the current status (HEACE) and/or studied the impact of environmental parameters on the human perception of cabin comfort (FACE, ICE). Recommendations for future technological developments are on the way to be set (ICE). Thus only fields of development have been explored and problems have been identified. One way of addressing these problems technologically is the individualisation of cabin environment. iSPACE follows this track and pushes the vision of individualisation of passenger cabin environment and comfort into reality.""","innovative Systems for Personalised Aircraft Cabin Environment. ""The focus of this proposal is to improve passengers’ comfort and well-being while fulfilling specific human needs in the treated case """"living environment in an airplane"""". To address the individual passenger and her/his needs this will be done in the frame of an individual and innovative seat environment. Thus passengers’ choice with regard to comfort will be increased directly. Therefore, iSPACE will provide concepts and step-change technologies in order to reach a revolution in personalised passenger climate control. The overall aim of iSPACE is to provide aircraft manufacturers and suppliers with know how and innovations to address the individualisation of the cabin environment. This will ultimately provide a step-change in passenger comfort during flight. Furthermore, validated tools for the simulation of individualised cabin environment will be developed. The scientific and technological objectives of iSPACE are to: Develop concepts for individualisation of passenger cabin environment and prove its general feasibility. Develop and prove emerging step-change technologies for individualisation of passenger cabin environment. Provide simulation tools for individualised cabin environment and give recommendations for existing and future commercial aircraft. iSPACE is in line with former projects funded by the EC which investigated the cabin environment with a philosophy on human centred design. So far most of these projects did investigate the current status (HEACE) and/or studied the impact of environmental parameters on the human perception of cabin comfort (FACE, ICE). Recommendations for future technological developments are on the way to be set (ICE). Thus only fields of development have been explored and problems have been identified. One way of addressing these problems technologically is the individualisation of cabin environment. iSPACE follows this track and pushes the vision of individualisation of passenger cabin environment and comfort into reality.""","",""
"P00220","imProved reliabIlity inspeCtion of Aeronautic structure through Simulation Supported POD","With aging engines and the increase of air traffic in the next 20 years, a central challenge in the aeronautical industry will concern the increase of the efficiency of maintenance which still represents around 20% of an operator’s indirect operating costs. This challenge is particularly important for metallic parts within the engine aircraft industry, because of the criticity of rotative components and the high temperature environment. Maintenance is directly related to the concept of Probability of Detection (POD) curves which are obtained by expensive experimental campaigns. Within the PICASSO project, we propose to evaluate the concept of using Non Destructive Testing low cost simulations to obtain Probability of Detection (POD) curves. The aim of PICASSO is therefore to build a new and original way to get simulation supported POD curves and to establish basis and recommendations for a future European standard for Qualification and Reliability of inspection for aircraft industry. The main economic impacts will be to ensure savings in costs concerning aircraft maintenance and engine development, improvements of time maintenance and elimination of unscheduled maintenance.","imProved reliabIlity inspeCtion of Aeronautic structure through Simulation Supported POD. With aging engines and the increase of air traffic in the next 20 years, a central challenge in the aeronautical industry will concern the increase of the efficiency of maintenance which still represents around 20% of an operator’s indirect operating costs. This challenge is particularly important for metallic parts within the engine aircraft industry, because of the criticity of rotative components and the high temperature environment. Maintenance is directly related to the concept of Probability of Detection (POD) curves which are obtained by expensive experimental campaigns. Within the PICASSO project, we propose to evaluate the concept of using Non Destructive Testing low cost simulations to obtain Probability of Detection (POD) curves. The aim of PICASSO is therefore to build a new and original way to get simulation supported POD curves and to establish basis and recommendations for a future European standard for Qualification and Reliability of inspection for aircraft industry. The main economic impacts will be to ensure savings in costs concerning aircraft maintenance and engine development, improvements of time maintenance and elimination of unscheduled maintenance.","",""
"P00221","""""""2nd Generation Active Wing“ – Active Flow- Loads & Noise control on next generation wing""","AFLoNext is a four year EC L2 project with the objective of proving and maturing highly promising flow control technologies for novel aircraft configurations to achieve a quantum leap in improving aircraft’s performance and thus reducing the environmental footprint. The project consortium is composed by forty European partners from fifteen countries. The work has been broken down into seven work packages. The AFLoNext concept is based on six Technology Streams: (1) Hybrid Laminar Flow technology applied on fin and wing for friction drag reduction. (2) Flow control technologies applied on outer wing for performance increase. (3) Technologies for local flow separation control applied in wing/pylon junction to improve the performance and loads situation mainly during take-off and landing. (4) Technologies to control the flow conditions on wing trailing edges thereby improving the performance and loads situation in the whole operational domain. (5) Technologies to mitigate airframe noise during landing generated on flap and undercarriage and through mutual interaction. (6) Technologies to mitigate/control vibrations in the undercarriage area during take-off and landing. AFLoNext aims to prove the engineering feasibility of the HLFC technology for drag reduction on fin in flight test and on wing by means of large scale testing as well as for vibrations mitigation technologies for reduced aircraft weight and for noise mitigation technologies. The peculiarity of the AFLoNext proposal in terms of holistic technical approach and efficient use of resources becomes obvious through the joint use of a flight test aircraft as common test platform for the above mentioned technologies. To improve aircraft performance locally applied active flow control technologies on wing and wing/pylon junction are qualified in wind tunnels or by means of lab-type demonstrators.","""""""2nd Generation Active Wing“ – Active Flow- Loads & Noise control on next generation wing"". AFLoNext is a four year EC L2 project with the objective of proving and maturing highly promising flow control technologies for novel aircraft configurations to achieve a quantum leap in improving aircraft’s performance and thus reducing the environmental footprint. The project consortium is composed by forty European partners from fifteen countries. The work has been broken down into seven work packages. The AFLoNext concept is based on six Technology Streams: (1) Hybrid Laminar Flow technology applied on fin and wing for friction drag reduction. (2) Flow control technologies applied on outer wing for performance increase. (3) Technologies for local flow separation control applied in wing/pylon junction to improve the performance and loads situation mainly during take-off and landing. (4) Technologies to control the flow conditions on wing trailing edges thereby improving the performance and loads situation in the whole operational domain. (5) Technologies to mitigate airframe noise during landing generated on flap and undercarriage and through mutual interaction. (6) Technologies to mitigate/control vibrations in the undercarriage area during take-off and landing. AFLoNext aims to prove the engineering feasibility of the HLFC technology for drag reduction on fin in flight test and on wing by means of large scale testing as well as for vibrations mitigation technologies for reduced aircraft weight and for noise mitigation technologies. The peculiarity of the AFLoNext proposal in terms of holistic technical approach and efficient use of resources becomes obvious through the joint use of a flight test aircraft as common test platform for the above mentioned technologies. To improve aircraft performance locally applied active flow control technologies on wing and wing/pylon junction are qualified in wind tunnels or by means of lab-type demonstrators.","",""
"P00222","JTI-Clean Sky 1-Green Regional Aircraft-Integrated Technology Demonstrator","GRA - Green Regional Aircraft: Future green regional aircraft will have to meet demanding weight reduction, energy and aerodynamics efficiency, a high level of operative performance, in order to be compliant regards to pollutant emissions and noise generation levels. Objective of the Green Regional Aircraft ITD is to mature, validate and demonstrate the technologies best fitting the environmental goals set for the regional aircraft entering the market in the years 2015 - 2020. The project has 5 main domains of research, in which several new technologies are under investigation in order to entirely revisit the aircraft in all of its aspects.","JTI-Clean Sky 1-Green Regional Aircraft-Integrated Technology Demonstrator. GRA - Green Regional Aircraft: Future green regional aircraft will have to meet demanding weight reduction, energy and aerodynamics efficiency, a high level of operative performance, in order to be compliant regards to pollutant emissions and noise generation levels. Objective of the Green Regional Aircraft ITD is to mature, validate and demonstrate the technologies best fitting the environmental goals set for the regional aircraft entering the market in the years 2015 - 2020. The project has 5 main domains of research, in which several new technologies are under investigation in order to entirely revisit the aircraft in all of its aspects.","",""
"P00223","Avionics Systems Hosted on a distributed modular electronics Large scale dEmonstrator for multiple tYpe of aircraft","In search for a more competitive, multiple types of aircrafts, IMA based, avionics platform solution, the European aerospace industry has recently initiated the IMA2G paradigm thanks to the EC funded SCARLETT project. This latter successfully validated a first underlying set of IMA2G concepts (Separate Core Processing resources from I/O resources, introduce resource segments typology of electronics solutions, provide platform services layer to function supplier etc.), thus creating the expected Distributed Modular Electronics (DME) breakthrough to lay IMA2G solid rock foundations. The goal of the work within ASHLEY is to go on carrying out research on top of the existing SCARLETT state-of-the-art in areas where innovations are likely to make the most of DME growth potential : • Extension of DME concepts and solutions to other aircraft domains especially the open world domain, leading to the definition of DME security components. • Common remote I/O resources typology including high integrity, time critical remote solutions. • Multi-domains, secured Data Distribution services to streamline aircraft data distribution. • Development of an efficient system designer oriented IMA2G Tooling Framework solution that remains compliant with IMA2G industrial and certification constraints. • Development of a generation of digital i.e. smart sensors based on new advanced photonics technologies. ASHLEY innovations will be supported by advanced processes, methods and tools for an efficient implementation in the future and validated thanks to the ASHLEY Large Scale aircraft representative Demonstrator. By progressing as described above the European Industry will be in a position to offer a common secured multi-domain avionics platform solution across a worldwide range of aircraft types, at a higher level of maturity at entry into service.","Avionics Systems Hosted on a distributed modular electronics Large scale dEmonstrator for multiple tYpe of aircraft. In search for a more competitive, multiple types of aircrafts, IMA based, avionics platform solution, the European aerospace industry has recently initiated the IMA2G paradigm thanks to the EC funded SCARLETT project. This latter successfully validated a first underlying set of IMA2G concepts (Separate Core Processing resources from I/O resources, introduce resource segments typology of electronics solutions, provide platform services layer to function supplier etc.), thus creating the expected Distributed Modular Electronics (DME) breakthrough to lay IMA2G solid rock foundations. The goal of the work within ASHLEY is to go on carrying out research on top of the existing SCARLETT state-of-the-art in areas where innovations are likely to make the most of DME growth potential : • Extension of DME concepts and solutions to other aircraft domains especially the open world domain, leading to the definition of DME security components. • Common remote I/O resources typology including high integrity, time critical remote solutions. • Multi-domains, secured Data Distribution services to streamline aircraft data distribution. • Development of an efficient system designer oriented IMA2G Tooling Framework solution that remains compliant with IMA2G industrial and certification constraints. • Development of a generation of digital i.e. smart sensors based on new advanced photonics technologies. ASHLEY innovations will be supported by advanced processes, methods and tools for an efficient implementation in the future and validated thanks to the ASHLEY Large Scale aircraft representative Demonstrator. By progressing as described above the European Industry will be in a position to offer a common secured multi-domain avionics platform solution across a worldwide range of aircraft types, at a higher level of maturity at entry into service.","",""
"P00224","Adaptive Control of Manufacturing Processes for a New Generation of Jet Engine Components","ACCENT addresses the relevance to the call 7.1: “Aeronautics and Air Transport” by “Improving Cost efficiency” and quality of safety critical aircraft engine components. The manufacture of safety critical rotating components in modern aero engines is by nature very conservative. In order to achieve the required engine performance, thermal and mechanical stresses are pushed to the maximum, which in turn leaves the choice of materials to exotic super alloys. These materials are classed as difficult to machine under normal circumstances, but when added to the changes in mechanical properties which occur naturally from part to part, consequently variable and often unpredictable tool life, and the ever present possibility of random and unexpected process anomalies, machining processes can never be fully optimised. Stringent legislative controls are placed on safety critical component manufacture to ensure that parts entering service will function correctly and safely to a declared service life, and in declaring the service life for such a part, the machinability issues stated above have to be taken into consideration. Hence manufacturing process parameters are often reduced or tools are changed early to ensure part surface integrity. The industry method adopted, is to “freeze” to process following process qualification to first article inspection, and successful part validation via laboratory examination and testing. Once frozen, no changes to process parameters are permitted without time consuming and costly re-validation. ACCENT will allow the European Aero Engine manufacturers to improve their competitiveness by applying adaptive control techniques to the manufacture of their components. Being able to adapt the machining process to the constantly changing tool and component conditions whilst operating in a multi-dimensional “approved process window”, processes will be optimised to the prevailing conditions and no longer “frozen”.","Adaptive Control of Manufacturing Processes for a New Generation of Jet Engine Components. ACCENT addresses the relevance to the call 7.1: “Aeronautics and Air Transport” by “Improving Cost efficiency” and quality of safety critical aircraft engine components. The manufacture of safety critical rotating components in modern aero engines is by nature very conservative. In order to achieve the required engine performance, thermal and mechanical stresses are pushed to the maximum, which in turn leaves the choice of materials to exotic super alloys. These materials are classed as difficult to machine under normal circumstances, but when added to the changes in mechanical properties which occur naturally from part to part, consequently variable and often unpredictable tool life, and the ever present possibility of random and unexpected process anomalies, machining processes can never be fully optimised. Stringent legislative controls are placed on safety critical component manufacture to ensure that parts entering service will function correctly and safely to a declared service life, and in declaring the service life for such a part, the machinability issues stated above have to be taken into consideration. Hence manufacturing process parameters are often reduced or tools are changed early to ensure part surface integrity. The industry method adopted, is to “freeze” to process following process qualification to first article inspection, and successful part validation via laboratory examination and testing. Once frozen, no changes to process parameters are permitted without time consuming and costly re-validation. ACCENT will allow the European Aero Engine manufacturers to improve their competitiveness by applying adaptive control techniques to the manufacture of their components. Being able to adapt the machining process to the constantly changing tool and component conditions whilst operating in a multi-dimensional “approved process window”, processes will be optimised to the prevailing conditions and no longer “frozen”.","",""
"P00225","Dynamics in Aircraft Engineering Design and Analysis for Light Optimized Structures","Today’s design and certification procedures of aircrafts are mainly based on conservative static loading which leads to additional weight and, potentially, to a structurally unsafe aircraft. The overall objective of the DAEDALOS project is to develop methods and procedures to determine dynamical loads considering the effects of dynamic buckling, material damping and mechanical hysteresis during aircraft service. Use of advanced analysis and design principles from DAEDALOS will partly remove the uncertainty and the conservatism of today’s design and certification procedures. DAEDALOS work will hence form the basis for improved common design practices by: 1. Determining accurate dynamic load spectra to be used for structural sizing. 2. Reducing the added weight of aircraft structural components due to conservative design in compliance with quasi-static loads by using more realistic equivalent dynamic loads. This goal will be achieved through improved introduction of the structure damping capacity and detailed analysis. 3. Increasing structural safety using more realistic loading scenarios. 4. Establishing new procedures for the definition of loads to be used during aircraft design and certification by authorities.","Dynamics in Aircraft Engineering Design and Analysis for Light Optimized Structures. Today’s design and certification procedures of aircrafts are mainly based on conservative static loading which leads to additional weight and, potentially, to a structurally unsafe aircraft. The overall objective of the DAEDALOS project is to develop methods and procedures to determine dynamical loads considering the effects of dynamic buckling, material damping and mechanical hysteresis during aircraft service. Use of advanced analysis and design principles from DAEDALOS will partly remove the uncertainty and the conservatism of today’s design and certification procedures. DAEDALOS work will hence form the basis for improved common design practices by: 1. Determining accurate dynamic load spectra to be used for structural sizing. 2. Reducing the added weight of aircraft structural components due to conservative design in compliance with quasi-static loads by using more realistic equivalent dynamic loads. This goal will be achieved through improved introduction of the structure damping capacity and detailed analysis. 3. Increasing structural safety using more realistic loading scenarios. 4. Establishing new procedures for the definition of loads to be used during aircraft design and certification by authorities.","",""
"P00226","ASSET – Aeronautic Study on Seamless Transport","Airport ground processes still conceal a considerable potential for improvement of time efficiency. Recent studies from Eurocontrol Performance Review Commission prove that insufficient punctuality in air transport results mainly from variance in off-block times. This leads to poor predictability and sizeable inefficiencies throughout the whole air transport system. Aim of proposed project is to develop and assess solutions for airport process improvement in terms of time efficiency regarding both, passenger process and aircraft turnaround in an integrated approach. Therefore, representatives of nearly all directly or indirectly involved stakeholders (airports, airlines, aircraft manufacturers, technological suppliers, security service providers etc.) gathered to work conjointly on this project. Elaboration of potential solutions will comprise compilation of currently discussed solution approaches (e.g. CDM, Total Airport Management etc.) as well as development of new opportunities focussing on three main process chains: 1) passenger processes 2) baggage processes 3) aircraft turnaround processes Emphasis is placed on identifying those solutions achieving the most promising target contribution instead of going into details of a certain approach. Each solution – first particular and in a later phase integrated solution scenarios – deemed expedient, become assessed by dint of simulating characteristic traffic scenario into two generic airport reference models. These airport models are assigned to represent a hub airport (with a substantial part of connecting passengers) and a medium-sized airport (point-to-point and low-cost traffic), defined and generated in the context of this project. Suchlike models are lacking so far and could actually be used for other projects and assessments. Outcome will be a ranking list specifying most promising solutions as basis for future development, reference models and a systematic scheme for future airport assessments.","ASSET – Aeronautic Study on Seamless Transport. Airport ground processes still conceal a considerable potential for improvement of time efficiency. Recent studies from Eurocontrol Performance Review Commission prove that insufficient punctuality in air transport results mainly from variance in off-block times. This leads to poor predictability and sizeable inefficiencies throughout the whole air transport system. Aim of proposed project is to develop and assess solutions for airport process improvement in terms of time efficiency regarding both, passenger process and aircraft turnaround in an integrated approach. Therefore, representatives of nearly all directly or indirectly involved stakeholders (airports, airlines, aircraft manufacturers, technological suppliers, security service providers etc.) gathered to work conjointly on this project. Elaboration of potential solutions will comprise compilation of currently discussed solution approaches (e.g. CDM, Total Airport Management etc.) as well as development of new opportunities focussing on three main process chains: 1) passenger processes 2) baggage processes 3) aircraft turnaround processes Emphasis is placed on identifying those solutions achieving the most promising target contribution instead of going into details of a certain approach. Each solution – first particular and in a later phase integrated solution scenarios – deemed expedient, become assessed by dint of simulating characteristic traffic scenario into two generic airport reference models. These airport models are assigned to represent a hub airport (with a substantial part of connecting passengers) and a medium-sized airport (point-to-point and low-cost traffic), defined and generated in the context of this project. Suchlike models are lacking so far and could actually be used for other projects and assessments. Outcome will be a ranking list specifying most promising solutions as basis for future development, reference models and a systematic scheme for future airport assessments.","",""
"P00227","Packaging of futuRe Integrated ModulAr Electronics","Affordable transport for the citizen relies on innovative solutions and technologies that will result in lower costs and lead-time of the aircraft and its systems. In this area, the packaging of on-board computers is an important contributor. The Packaging of futuRe Integrated ModulAr Electronics (PRIMAE) objective is to develop a new flexible, robust and open aeronautical packaging for the next generation of electronics and particularly to Integrated Modular Avionics. This new concept after standardization will be able to replace the 35 year old ARINC 600 standard. PRIMAE technical objectives are: - Reduce electronics packaging in terms of volume (50%) and weight (30%) and offer flexibility and growth capability - Reduce costs (20%) using market standard components - Enhance reliability (50%) through thermal and vibratory breakthrough - Mitigate EMC protection penalties in composite fuselage environment - Ensure fast production ramp up and support rapid final assembly on aircraft - Improve availability and reduce maintenance cost. In these domains significant technological studies, beyond the state of the art (cooling, lightweight composite materials, electromagnetic interferences, power supply, connectivity), will be carried out in respect to airworthiness regulations. To achieve the PRIMAE objectives, 3 steps are required: - Definition phase of air framers and suppliers requirement - Research and evaluation of advanced packaging technologies - Specification and development of representative mock-up to integrate different technologies. The concept once harmonized among the main European players participating in this project, will be proposed as a standard for the future generation of large and regional aircraft, and helicopters. The new packaging concept will strengthen competitiveness of the market and will support the effort of industrial avionics suppliers to improve costs and environmental impacts.","Packaging of futuRe Integrated ModulAr Electronics. Affordable transport for the citizen relies on innovative solutions and technologies that will result in lower costs and lead-time of the aircraft and its systems. In this area, the packaging of on-board computers is an important contributor. The Packaging of futuRe Integrated ModulAr Electronics (PRIMAE) objective is to develop a new flexible, robust and open aeronautical packaging for the next generation of electronics and particularly to Integrated Modular Avionics. This new concept after standardization will be able to replace the 35 year old ARINC 600 standard. PRIMAE technical objectives are: - Reduce electronics packaging in terms of volume (50%) and weight (30%) and offer flexibility and growth capability - Reduce costs (20%) using market standard components - Enhance reliability (50%) through thermal and vibratory breakthrough - Mitigate EMC protection penalties in composite fuselage environment - Ensure fast production ramp up and support rapid final assembly on aircraft - Improve availability and reduce maintenance cost. In these domains significant technological studies, beyond the state of the art (cooling, lightweight composite materials, electromagnetic interferences, power supply, connectivity), will be carried out in respect to airworthiness regulations. To achieve the PRIMAE objectives, 3 steps are required: - Definition phase of air framers and suppliers requirement - Research and evaluation of advanced packaging technologies - Specification and development of representative mock-up to integrate different technologies. The concept once harmonized among the main European players participating in this project, will be proposed as a standard for the future generation of large and regional aircraft, and helicopters. The new packaging concept will strengthen competitiveness of the market and will support the effort of industrial avionics suppliers to improve costs and environmental impacts.","",""
"P00228","Aviation Noise Research Network and Coordination","The X-NOISE EV Coordination Action, through its network structure and comprehensive workplan involving experts groups, scientific workshops, international cooperation seminars and a common information system, addresses the noise challenges faced by Aviation. To this end, it will more specifically: - Evaluate EU-funded projects results and assess their contribution to the state-of-the-art. - Formulate, through development of common strategies and complementarity with national activities, priorities and key topics for future projects aimed at noise reduction at source, low noise operations, and improved understanding and modelling of the impact of aircraft noise in the community, including environmental interdependencies. - Ensure dissemination and exploitation of research findings, including technical information aimed at Regulatory Bodies and Policymaking Agencies. - Contribute to an improved integration of the European Aviation Noise Research Community through a network of National Focal Points covering all countries with such technical interest - Identify potential reinforcement of future projects partnership through extended international networking and dedicated processes to foster new collaborations and promote novel ideas. The project scope is fully consistent with the FP7 Transport workprogramme (Aeronautics), significantly contributing to the objectives of reducing Aircraft Noise by 10 dB per operation as set by the ACARE 2020 Vision,.while addressing key factors associated with Airport Noise issues. Over 4 years, the project will involve 29 partners from 21 countries (FR, UK, ES, NL, BE, DE, SE, IT, PL, HE, HU, CZ, LT, IE, PT, RO, CH, RU, UKR, EG, BR), combining the complementary skills and expertise of industry partners, SMEs, universities and research establishments to cover the whole field of interest.","Aviation Noise Research Network and Coordination. The X-NOISE EV Coordination Action, through its network structure and comprehensive workplan involving experts groups, scientific workshops, international cooperation seminars and a common information system, addresses the noise challenges faced by Aviation. To this end, it will more specifically: - Evaluate EU-funded projects results and assess their contribution to the state-of-the-art. - Formulate, through development of common strategies and complementarity with national activities, priorities and key topics for future projects aimed at noise reduction at source, low noise operations, and improved understanding and modelling of the impact of aircraft noise in the community, including environmental interdependencies. - Ensure dissemination and exploitation of research findings, including technical information aimed at Regulatory Bodies and Policymaking Agencies. - Contribute to an improved integration of the European Aviation Noise Research Community through a network of National Focal Points covering all countries with such technical interest - Identify potential reinforcement of future projects partnership through extended international networking and dedicated processes to foster new collaborations and promote novel ideas. The project scope is fully consistent with the FP7 Transport workprogramme (Aeronautics), significantly contributing to the objectives of reducing Aircraft Noise by 10 dB per operation as set by the ACARE 2020 Vision,.while addressing key factors associated with Airport Noise issues. Over 4 years, the project will involve 29 partners from 21 countries (FR, UK, ES, NL, BE, DE, SE, IT, PL, HE, HU, CZ, LT, IE, PT, RO, CH, RU, UKR, EG, BR), combining the complementary skills and expertise of industry partners, SMEs, universities and research establishments to cover the whole field of interest.","",""
"P00229","Advanced Aircraft Network for Theoretical & Experimental Aeroservoelastic Modeling","Next generation of aerodynamically efficient slender and flexible aircraft wings used in composite civil aircrafts and unconventional configurations, such as High Altitude Long Endurance HALE-UAV, require extremely lightweight structural components capable of carrying considerable amount of non-structural weight. With the increased slenderness and flexibility, possible with the advent of advanced composites, these wings can exhibit aeroelastic instabilities quite different from their rigid counterparts. Consequently, one has to deal with phenomena not usually considered in classical aircraft design. Alternative design criteria are needed in order to maintain the safety levels imposed by the regulations and required for certification. The study of the nonlinear aeroservoelastic behaviour of these aircrafts is extremely complex and requires the integration of a variety of disciplines including solid mechanics, fluid mechanics, and controls. Only by integrating these disciplines is possible to develop a comprehensive model truly representative of the aircraft dynamics and its aeroservoelastic behaviour. The A2-Net-Team project aims to build a multi-disciplinary network of researchers with complementary expertise to develop analytical methods used for a better understanding and assessment of the factors contributing to the occurrence of critical aeroservoelastic instabilities. The test article will also provide the opportunity to modify and calibrate theoretical models, with the goal of showing the effect of theoretical approximation and their limits, and the necessity of model modifications and future investigations. A theoretical and experimental database will be created to describe the aeroelastic impacts and results from the programme. Future plans for aeroservoelastic testing will be also proposed and lesson learned during this projects will be instrumental for these studies.","Advanced Aircraft Network for Theoretical & Experimental Aeroservoelastic Modeling. Next generation of aerodynamically efficient slender and flexible aircraft wings used in composite civil aircrafts and unconventional configurations, such as High Altitude Long Endurance HALE-UAV, require extremely lightweight structural components capable of carrying considerable amount of non-structural weight. With the increased slenderness and flexibility, possible with the advent of advanced composites, these wings can exhibit aeroelastic instabilities quite different from their rigid counterparts. Consequently, one has to deal with phenomena not usually considered in classical aircraft design. Alternative design criteria are needed in order to maintain the safety levels imposed by the regulations and required for certification. The study of the nonlinear aeroservoelastic behaviour of these aircrafts is extremely complex and requires the integration of a variety of disciplines including solid mechanics, fluid mechanics, and controls. Only by integrating these disciplines is possible to develop a comprehensive model truly representative of the aircraft dynamics and its aeroservoelastic behaviour. The A2-Net-Team project aims to build a multi-disciplinary network of researchers with complementary expertise to develop analytical methods used for a better understanding and assessment of the factors contributing to the occurrence of critical aeroservoelastic instabilities. The test article will also provide the opportunity to modify and calibrate theoretical models, with the goal of showing the effect of theoretical approximation and their limits, and the necessity of model modifications and future investigations. A theoretical and experimental database will be created to describe the aeroelastic impacts and results from the programme. Future plans for aeroservoelastic testing will be also proposed and lesson learned during this projects will be instrumental for these studies.","",""
"P00230","Community Oriented Solutions to Minimise aircraft noise Annoyance","COSMA aims to develop engineering criteria for aircraft design and operations in order to reduce the annoyance within airport communities due to aircraft exterior noise. By today, such criteria do not exist since aircraft noise engineering has historically focused on achieving ever lower noise levels for individual events and at close distance from the runway. Within the frame of a unique approach, COSMA will - improve the understanding of noise annoyance effects due to aircraft in the airport surrounding community through field studies and dedicated psychometric testing - use these findings in setting up optimised aircraft noise shapes - develop techniques for a realistic synthesis aircraft noise around airports - validate the optimised aircraft noise shapes and their associated engineering guidelines - put in place an efficient knowledge management for design practices and scientific information on aircraft exterior noise annoyance effects Through this comprehensive workplan, COSMA will ensure optimum exploitation of the scientific research results by reducing noise annoyance at source (whether by technological or operational means) through an improved understanding of the effects of aircraft noise in the airport surrounding community. Under the technical guidance of industry experts, COSMA will integrate contributions from research organisations and SME’s, bringing together the multi-disciplinary background that is required for achieving the project objectives. COSMA is involving 21 partners from 9 different countries: Germany, France, UK, Netherlands, Sweden, Italy, Belgium, Portugal and Hungary.","Community Oriented Solutions to Minimise aircraft noise Annoyance. COSMA aims to develop engineering criteria for aircraft design and operations in order to reduce the annoyance within airport communities due to aircraft exterior noise. By today, such criteria do not exist since aircraft noise engineering has historically focused on achieving ever lower noise levels for individual events and at close distance from the runway. Within the frame of a unique approach, COSMA will - improve the understanding of noise annoyance effects due to aircraft in the airport surrounding community through field studies and dedicated psychometric testing - use these findings in setting up optimised aircraft noise shapes - develop techniques for a realistic synthesis aircraft noise around airports - validate the optimised aircraft noise shapes and their associated engineering guidelines - put in place an efficient knowledge management for design practices and scientific information on aircraft exterior noise annoyance effects Through this comprehensive workplan, COSMA will ensure optimum exploitation of the scientific research results by reducing noise annoyance at source (whether by technological or operational means) through an improved understanding of the effects of aircraft noise in the airport surrounding community. Under the technical guidance of industry experts, COSMA will integrate contributions from research organisations and SME’s, bringing together the multi-disciplinary background that is required for achieving the project objectives. COSMA is involving 21 partners from 9 different countries: Germany, France, UK, Netherlands, Sweden, Italy, Belgium, Portugal and Hungary.","",""
